paragraph_text,paragraph_index,book_name
    周文王一身白衣，横眉冷视，历数商纣王十宗大罪，每说一宗罪，大商国运减一成，商纣王老十岁。文王说完，大商国运崩灭，商纣王行将就木，奄奄一息。,17, 第一章 寒门子弟
    周文王的才气化为烈阳，高悬天空，他手捧圣书《易经》诵读，一个个细小的金色文字从口中飞出，越飞越大，最后长成一人大小，无数的金色大字环绕才气烈阳，大放金光，照耀天下。,18, 第一章 寒门子弟
    金光不伤人族，但十万妖族和三十万蛮族突然凄厉哀嚎，身体自内而外裂开，鲜血四溅，陆续死去。,19, 第一章 寒门子弟
    最终，五尊蛮圣俱亡，三大妖圣只逃出一尊。,20, 第一章 寒门子弟
    牧野之上，血流漂杵。,21, 第一章 寒门子弟
    纣王驾崩，百万大商士兵尽降。,22, 第一章 寒门子弟
    后人称赞周文王：只手屠妖蛮，孤身安天下。,23, 第一章 寒门子弟
    后来，周文王传位于武王，潜心研究《易经》，寿命达五百岁。,24, 第一章 寒门子弟
    其后天下再没人有才气，直到孔丘出世。,25, 第一章 寒门子弟
    圣人孔子降生的时候貌丑形异，被弃之荒野，天气十分炎热，苍鹰下落，振翅扇风为他驱赶酷暑，一只母虎把孔子叼进虎窝，用虎奶哺乳，所以后人说孔子是“龙生虎养鹰打扇”。,26, 第一章 寒门子弟
    后来母虎把孔子送还孔母，孔母悉心养育。,27, 第一章 寒门子弟
    孔子的母亲是小妾，在孔父去世后，孔子和母亲被孔父的正妻赶走。,28, 第一章 寒门子弟
    孔子少年时候非常贫困，封圣后曾对弟子说：“吾少也贱，故多能鄙事。”意思是说，他小时候很穷，所以会很多粗活手艺。,29, 第一章 寒门子弟
    孔子年轻的时候很平凡，中年时期才展现出与众不同的地方，并周游列国。,30, 第一章 寒门子弟
    老年的孔子回鲁国当官，最后担任鲁国最高官员之一的大司寇，但最后被排挤辞官。,31, 第一章 寒门子弟
    辞官后，孔子重新修订《诗经》《尚书》《礼记》和《乐经》，并为文王的《易经》作序。最后，孔子亲笔编写《春秋》，书成时，才气冲霄，天花乱坠，群星天照，千里云霞，万里雷鸣，天下震动，成就亚圣。,32, 第一章 寒门子弟
    孔子封圣后闭关十年。,33, 第一章 寒门子弟
    不久之后，当年商周之战逃亡的那尊蛇族妖圣经过八百年修炼，更进一步，成为大圣，妄图报文王灭妖蛮之仇，大举入侵。,34, 第一章 寒门子弟
    大圣的力量稍强于人类亚圣，即使当年的周文王也有所不如。,35, 第一章 寒门子弟
    妖蛮联军至玉海城下，万民惊慌。,36, 第一章 寒门子弟
    眼看妖蛮就要攻城，孔子乘坐文宝“列国车”飞来，左手握“春秋书”，右手持“春秋笔”，看到蛇族大圣后微笑道：“食不厌精，脍不厌细，请大圣入我瓮中，烈火烹之。”,37, 第一章 寒门子弟
    百万妖蛮大怒，就见孔子提笔，风起云涌，天地变色，春秋笔连写九个“诛”字，一字一刀，诛杀蛇族大圣，把蛇族大圣一分为十，然后孔子当众烹调，一人吃掉百丈长的蛇族大圣。,38, 第一章 寒门子弟
    在烹调过程中，百万妖蛮联军想要逃跑，孔子随手抛出文宝春秋书，遮天三千里，大书一动，卷杀百万妖蛮。,39, 第一章 寒门子弟
    万民跪伏，口称圣人。,40, 第一章 寒门子弟
    后来孔子创办第一家书院曲阜书院，打破当时的教育垄断，招收普通弟子三万，亲传弟子三千，贤弟子七十二。,41, 第一章 寒门子弟
    方运没想到这个伯父这么大胆，蛮侯相当于大学士，足以一人破城，十分强大。,0, 第十八章 圣地，书山
    “那侄儿谢过伯父解我之围，我正愁不能去府文院。有您这句话，我可以放心去大源府了。”方运立刻站起来感谢。,1, 第十八章 圣地，书山
    方守业哈哈一笑，道：“咱们大源方家好不容易出了一个圣前童生，我怎能看着你白白送命？不过，柳子诚虽不敢杀你，但一定会打击你的文名。他当年的府试位列前十，上过书山，文名和才气都颇有可取之处，而且他也在府文院，你进了府文院要注意。他只要不动用过激的手段，我不好再对他出手。”,2, 第十八章 圣地，书山
    “侄儿明白。不过您能详说一下书山吗？”方运好奇地问。,3, 第十八章 圣地，书山
    方守业流露出怀念和遗憾之色，道：“那可是圣地。不仅练‘文胆’，更能得‘文心’。书山共有九山，前三山每山三阁。据说每过三座山，可得一颗文心。”,4, 第十八章 圣地，书山
    “我去过两次。第一次中了秀才去的，可惜只登到第一山第三阁，不能说毫无所获，毕竟才气有所增强。第二次是中了举人去的，可惜在第二山的第二阁前止步。不过我中举后修炼文胆，第二次登书山淬炼了我的文胆，也算是收获。”,5, 第十八章 圣地，书山
    “那书山里面到底有什么？”方运好奇地问。,6, 第十八章 圣地，书山
    方守业摇头道：“不记得了，去过的人只记得自己登到什么位置得到什么，除此之外什么都不记得。书山受历代众圣不断加持，是考验秀才和举人的地方。据说进书山后还有极小的可能得到‘圣书’，那可是众圣消耗自身才气制作的文宝。”,7, 第十八章 圣地，书山
    “那可惜了。”方运本以为能从方守业这里了解一下书山。,8, 第十八章 圣地，书山
    所有拜孔子为师的人经过学习后，自然而然拥有才气。,42, 第一章 寒门子弟
    后来孔子更进一步，成就圣人之位，前无古人，后无来者。,43, 第一章 寒门子弟
    圣人洞悉天机，觉察人族暗藏大危机，于是驾列国车，孤身上三蛮、下四海、登五妖山，逼迫妖蛮两族签订千年不战之约。,44, 第一章 寒门子弟
    无人知道孔子上三蛮下四海登五山的具体经过，只知孔子归来后访遍百家，然后一直闭关不出。,45, 第一章 寒门子弟
    孔子闭关后，孟子、荀子、曾子、子思子和颜子五人因得孔子亲传，陆续封半圣，次于亚圣。,46, 第一章 寒门子弟
    儒家门人不再跟其他百家对立，孔子的孙子子思甚至提出“师法百家”的理念，主动向百家请教，并且助百家学习才气，墨家的墨子、法家的韩非子、杂家的吕不韦、农家的许行、兵家的孙子等相继封半圣。,47, 第一章 寒门子弟
    直到汉太祖刘邦斩白蛇妖起义，弟子们才知孔子即将去世。,48, 第一章 寒门子弟
    孔子仙逝时，圣体化为才气烟柱，直冲云霄，历久不散，天下人人可见。三日后，才气烟柱一分为三，一入曲阜书院，一入三万弟子，一入天下。,49, 第一章 寒门子弟
    孟子、荀子、曾子、子思子和颜子等五位半圣因此再进一步，封亚圣。,50, 第一章 寒门子弟
    自此，开启了才气时代。,51, 第一章 寒门子弟
    自此，百家争鸣终归儒。,52, 第一章 寒门子弟
    没了罢黜百家的悲剧，人族大兴。,53, 第一章 寒门子弟
    孔子逝世后，曲阜书院改称“圣院”，地位超然。,54, 第一章 寒门子弟
    圣院逐渐完善才气力量，秉承孔子遗愿，吸收百家精华，唯才是举，创立十文位，分别是童生，秀才，举人，进士，翰林，大学士，大儒，半圣，亚圣，圣人。,55, 第一章 寒门子弟
    读书人的文位越高，才气越多，掌控的天地元气越强。,56, 第一章 寒门子弟
    甄掌柜走回吉祥酒楼，正好是午饭时间，平日这时候必然顾客盈门，热热闹闹，可现在偌大的大堂只有两桌人，而且没有一个读书人，更不用说那些身穿童生袍甚至秀才袍的人。,0, 第二十章 府城危机
    这才过了一天。,1, 第二十章 府城危机
    这时候一个伙计匆忙赶来，焦急地说：“掌柜的，不好了，苏老爷已经发话，不准苏家的人来咱们店里吃饭，而且不准苏家的产业跟咱们有来往，其他两家望族也跟着做，您想想办法吧。我听县衙的朋友说，今日蔡县令也发话，以后县衙接待客人不再选咱们吉祥酒楼。这样的话，那些衙役官员和他们的亲戚都不会来了。”,2, 第二十章 府城危机
    甄掌柜茫然地看着空荡荡的大堂，呆了许久，坐在门槛上嚎啕大哭。,3, 第二十章 府城危机
    “我不该狗眼看人低啊……”,4, 第二十章 府城危机
    和往常的午饭不同，方家今天的午饭有肉有菜，杨玉环也不再不舍得吃，而是和方运一起想吃什么就吃什么。,5, 第二十章 府城危机
    杨玉环一边吃饭一边说一些琐事，诸如又有人来送了礼金，还有几个大户送来请柬请方运去参加晚宴。,6, 第二十章 府城危机
    饭后，方运写了一些简信答复那些邀请他的人，先是不胜感激之类的，最后说要去蔡县令家学习经义，望海涵。,7, 第二十章 府城危机
    午睡片刻，方运养精蓄锐，然后研墨铺纸。,8, 第二十章 府城危机
    “儒之圣道漫长艰辛，必须要一步一个脚印向前。我就算有奇书天地，也需要努力，或者说，为了不辜负奇书天地，我应该更加努力！”,9, 第二十章 府城危机
    “第一要练字，身为文人，字非常重要，在圣元大陆，一笔好字可比一张好脸更重要。”,10, 第二十章 府城危机
    “第二要背诵、理解众圣经典，奇书天地能助我通万事，却不能让我得万能。纸上得来终觉浅，这奇书天地是我的台阶，而不是我打开圣道的钥匙！圣道的钥匙，只有我自己！若是一切都靠奇书天地，我绝无可能走出自己的圣道，绝不可能封圣！”,11, 第二十章 府城危机
    随后，不断有路人道喜，让方运无可奈何，只好一一还礼。,0, 第十九章 文宫
    在没人道喜的时候，几个同窗询问方运有关昨夜童生文会的事情，方运就挑了一些说。,1, 第十九章 文宫
    众人一路走一路聊，方运找个时机把梁远拉到一旁，道：“大源府的伯父资助我开一家书铺，我正好缺个信得过的掌柜，就想到你。你有米店的经验，只要再雇几个老先生，就能把书铺撑起来，薪水等同在县文院的讲郎，空闲时可以读书，怎么样？”,2, 第十九章 文宫
    “书铺？”梁远的呼吸加快，书铺虽然和米店一样是做买卖，可在米店做工非常累，可书铺就不一样，而且是做掌柜的，每天有更多的时间来读书。,3, 第十九章 文宫
    “对。我给你两天的时间考虑，你不答应的话，我会尽快找别人。现在每月给你五两银子，等以后做大了，还有你的分红。”方运道。,4, 第十九章 文宫
    “让我想想，明天我给你答复。”,5, 第十九章 文宫
    “好。”,6, 第十九章 文宫
    到了文院门口，方运和卢霖辞别同窗，一起进入文院，在里面人的带领下去了偏房。,7, 第十九章 文宫
    偏房里已经有许多童生，方运一进去，认识方运的人立刻拱手作揖。,8, 第十九章 文宫
    有的称方案首，有的称方双甲，一位三十多的童生则非常热情，他极为推崇那句“花落知多少”。,9, 第十九章 文宫
    方仲永也在其中，老老实实向方运行礼。,10, 第十九章 文宫
    方守业道：“记住，日后你上了书山，一定要尽最大的可能向上攀登！我们不是众圣世家，终其一生也只能进两次书山，而众圣世家的人在中进士后，可以第三次进入里面，将来的成就要比我们大的多。哦，对了，‘国首’也有第三次进书山的机会。”,9, 第十八章 圣地，书山
    “国首？”方运隐约知道，但不太了解。,10, 第十八章 圣地，书山
    “状元之上，是为国首，十国文人之首。状元年年有，但国首却不一定。当年……”方守业的脸色突然黯淡，自嘲地一笑道，“那国首之名太难得，说之无用。你今年要做的就是好好读书，明年再去考秀才。”,11, 第十八章 圣地，书山
    方运道：“我准备今年就考秀才。”,12, 第十八章 圣地，书山
    “哦？你的请圣言和诗词或许可圈可点，但还未学经义吧？离府试不到三个月，你有信心？”,13, 第十八章 圣地，书山
    “说不上有信心，姑且一试。”,14, 第十八章 圣地，书山
    “也好，到时候你自然知道秀才不是那么好考的。”方守业话里有话，又接着说，“你也没有什么营生，在考上秀才之前，就在大源方家的族学里教蒙学、给方氏一族的孩童启蒙。一个月二十两银子，如何？”,15, 第十八章 圣地，书山
    “伯父您给的会不会太多了？”方运问。,16, 第十八章 圣地，书山
    一旁的方雨生沉默不语，他是秀才，在县文院里教童生，一个月也不过五两银子的收入，方运不过是童生，教孩子就能拿二十两，真是人比人气死人。,17, 第十八章 圣地，书山
    “打破景国天荒的双甲案首值这个价。”方守业道。,18, 第十八章 圣地，书山
    “那侄儿谢过伯父，我争取在十天内处理完这里的事务，然后去府城。”方运知道这是方守业的好意，只要他在方氏族学里当先生，柳家人或别人要动他都得考虑后果，这对他是一种变相的保护。,19, 第十八章 圣地，书山
    “好，你不再考虑考虑？”方守业站起来说，又看了一眼送不出去的两箱财宝。,20, 第十八章 圣地，书山
    方运笑道：“据我所知，圣前童生虽然少，但也不是人人都有那么高的成就，而且一个童生成长到进士才能建功立业，那可能需要二三十年，伯父为何如此看重我？”,21, 第十八章 圣地，书山
    方守业用手摸着胡子拉碴的下巴，道：“第一嘛，你那首《岁暮》写的好，骂柳山让我很痛快。至于第二，你要是能做出一首‘传世’战诗或战词，别说区区两万两，就是二十万两白银也值得。”,22, 第十八章 圣地，书山
    一觉醒来，方运洗漱吃早饭，然后在院子里走了几圈，然后又一头扎进房里练字读书。,0, 第二十一章 墨香入天地
"    期间有人来访，都没有要事,被杨玉环挡在院子里，那些人听到方运的读书声也知趣地离开，临走前还不忘夸方运刻苦用功。",1, 第二十一章 墨香入天地
    午间梁远带了酒菜来，一边和方运吃喝，一边商谈书铺的事宜，最后决定跟和方运一起去大源府经营书铺，并比方运早走五天，帮方运选居住地点和书铺的地址。,2, 第二十一章 墨香入天地
    饭后，方运前往文院的藏书堂。,3, 第二十一章 墨香入天地
    县文院的藏书堂极大，足有十几万本书，唯一的缺点就是不能外借。,4, 第二十一章 墨香入天地
    方运进入其中，选了一本奇书天地没有且之前没看过的书，名为《草庐山居集》，是景国一位大学士的文集。,5, 第二十一章 墨香入天地
    不多时，门帘外的方大牛道：“出城了。”,0, 第二十二章 诗成镇国 一纸百斤
    “嗯。”,1, 第二十二章 诗成镇国 一纸百斤
    又过了一阵，方大牛道：“要过济河了，驿站的凉亭那里站着许多人，不知道等谁。”,2, 第二十二章 诗成镇国 一纸百斤
    方运掀开门帘，前面是石板搭成的济河桥，再前面则是济县驿站，是原本是朝廷传递书信和负责官员旅途食宿换马的地方。,3, 第二十二章 诗成镇国 一纸百斤
    不过由于才气体系昌盛，朝廷的文书都直接利用文院的“鸿雁传书”，瞬息即达，驿站就不再负责传递官方文书，而是负责民用信件邮寄。,4, 第二十二章 诗成镇国 一纸百斤
    非官员或者官员传递私信用文院的“鸿雁传书”很贵，同州一两银子，同国十两银子，跨国则百两。,5, 第二十二章 诗成镇国 一纸百斤
    方运诧异地看到，蔡县令、王院君、苏举人等济县重要人物都在。蔡县令身后的那个牛蛮人身高超过七尺，异常醒目。,6, 第二十二章 诗成镇国 一纸百斤
    方运先是一愣，以为他们迎接哪个大官，可看到有人招手，才明白他们是来送自己的。,7, 第二十二章 诗成镇国 一纸百斤
    方运心中暖意阵阵，立刻跳下马车，跟着马车一起走向驿站的凉亭。,8, 第二十二章 诗成镇国 一纸百斤
    此刻太阳还没升起，许多地方都挂着霜，春寒料峭，方运没让杨玉环下来。,9, 第二十二章 诗成镇国 一纸百斤
    杨玉环一直认为，要不是她父亲拿了方运家的钱去赌，方运的父母也不至于去外地奔波以至于遭遇妖兽，她一直觉得自己欠方运的。,0, 第十七章 科举王冠
    为了赎罪，杨玉环给自己身上加了一层又一层重担，压得她喘不过气来，感情世界一片空白。,1, 第十七章 科举王冠
    现在方运终于考上童生，而且是双甲案首，她心里的重担终于去了大半。,2, 第十七章 科举王冠
    她今天本来高高兴兴和亲戚一起准备宴席，等着方运从文会上回来，可随着媒婆的到来，她的好心情全部消失。,3, 第十七章 科举王冠
    方运心潮澎湃，没想到竟然有如此神奇的世界。,57, 第一章 寒门子弟
    “只要成为童生就能拥有最基本的‘才气’，同时获得文位天赐，童生的天赐是‘明眸夜视’，在夜里可以视物，晚上不用点油灯就可以读书。而成为秀才后更不得了，能够‘纸上谈兵’，这可不是嘲笑人的话，而是秀才写成的战诗、战词能化字为实，形成强大的力量。等文位高了，有更不可思议的天赐力量。”,58, 第一章 寒门子弟
    方运又想起，圣元大陆同样经历了秦、汉和三国时期，目前圣元大陆共有十个国家。方运通过近期的历史名人，推断出现在圣元大陆大概位于隋唐之前。,59, 第一章 寒门子弟
    方运细数最近封圣的名人。,60, 第一章 寒门子弟
    有“书圣”之称的王羲之借《兰亭集序》《平安帖》《丧乱帖》封半圣，次于亚圣。,61, 第一章 寒门子弟
    有陶渊明凭《桃花源记》《五柳先生传》《归去来兮辞》等封半圣。,62, 第一章 寒门子弟
    有祖冲之凭借《缀术》《大明历》《易义》等封半圣。,63, 第一章 寒门子弟
    有郦道元凭借《水经注》和《本志》封半圣。,64, 第一章 寒门子弟
    有范缜以《神灭论》封大儒，次于半圣。,65, 第一章 寒门子弟
    但是，没有李白！没有杜甫！,66, 第一章 寒门子弟
    没有白居易！没有王昌龄！,67, 第一章 寒门子弟
    没有李商隐！没有温庭筠！,68, 第一章 寒门子弟
    没有王维！没有杜牧！,69, 第一章 寒门子弟
    “第三，要阅读每周一刊的《文报》，上面报道过去一周整个圣元大陆十国的时政、文化、经济、技术等所有的信息，是我了解这个世界的最好的方式。《圣道》月刊也必不可少，上面的诗词文都是十国精华，代表整个世界的发展趋势和思想根本。还要把历年的《文报》和《圣道》全部看完。”,12, 第二十章 府城危机
    方运深吸一口气，心念一动，一本本书法字帖浮现，方运最终选定“柳体”，即唐代大书法家柳公权的楷书风格，而圣元大陆还没有柳体。,13, 第二十章 府城危机
    颜真卿和柳公权是唐朝两大书法家，在楷书的造诣不弱于书圣王羲之，但行书自然远不如王羲之。,14, 第二十章 府城危机
    颜体太过方正刚劲，现在还不适合方运学习，而柳体平稳匀称，挺秀灵动，结体严谨，更符合方运的性格和年龄。,15, 第二十章 府城危机
    在科举中，楷书的地位比行书高，但在书法方面两者不分上下，而在军伍中，草书大行其道。,16, 第二十章 府城危机
    方运先闭上眼，默默记忆一幅柳公权名作《神策军碑》字帖，使之深深烙印在自己脑海里，然后提笔临摹。,17, 第二十章 府城危机
    “皇帝巡幸左神策军……”,18, 第二十章 府城危机
    方运一笔一划写着，一张、两张、三张……,19, 第二十章 府城危机
    写了整整十张纸都毫无起色，不过他并不气馁，继续写。,20, 第二十章 府城危机
    在写完第二十张后，方运停笔仔细观看，脸上浮现一丝笑意，这字有小小的进步。,21, 第二十章 府城危机
    “不愧是才气世界，我现在有了才气，不仅身体变强、能‘明眸夜视’，还头脑灵活，学任何东西都要比之前快。”,22, 第二十章 府城危机
    方运有了信心，写起来更加流畅。,23, 第二十章 府城危机
    练完一小时的字，方运在院子里散步半刻钟，然后回到屋里继续练字。,24, 第二十章 府城危机
    练完字，方运把所有字帖烧掉，《神策军碑》里面记录着唐朝一次各国来降等事，不能被别人看到。,25, 第二十章 府城危机
    方运休息片刻，拿出书架上一本略显破旧的《易经》翻看。,26, 第二十章 府城危机
    哪怕有人心中不服气或怀疑方运，看到这场面也不敢挑衅，万一被蔡县令知道，被责斥是小事，被逐出文院那就倒霉了。,11, 第十九章 文宫
    打过招呼，一个衙役捧着一些东西走过来，非常恭敬地告诉方运和卢霖要换上童生袍、佩戴童生剑。,12, 第十九章 文宫
    方运和卢霖谢过衙役，换上浅蓝色的童生袍，对着镜子照着。,13, 第十九章 文宫
    童生袍式样和普通的长袍略有区别，领口和袖口都有柳叶条纹，只有童生才能穿，无文位者不得穿，否则杖八十。,14, 第十九章 文宫
    童生袍腰侧有挂饰，可以悬挂童生剑。,15, 第十九章 文宫
    方运挂好剑后，轻轻抽出，一道寒光映入眼中，剑已经开刃，在战场上虽不如长矛和大刀，但防身足够。,16, 第十九章 文宫
    接下来童生们相互整理衣衫，以免对众圣不敬。,17, 第十九章 文宫
    吉时一到，众童生纷纷走出偏房，而本地的官员已经等在外面。,18, 第十九章 文宫
    随后，蔡县令和王院君两个人为首，带着五十名新科童生走进供奉着众圣的圣庙，每个人都站在一张蒲团后。,19, 第十九章 文宫
    蔡县令再一次朗诵《祭众圣文》，表达对众圣的感激，最后道：“济县县令蔡禾携五十童生祭拜众圣，请众圣降才气，壮我人族！”说完跪下。,20, 第十九章 文宫
    其余人也跟着跪在蒲团上。,21, 第十九章 文宫
    方运感觉整座圣庙乃至所在的空间都突然重重一震，随后一股无形的力量降临，明明无法触摸，却直达人的心灵，恢宏雄壮，让人忍不住顶礼膜拜。,22, 第十九章 文宫
    方运这才明白。,23, 第十八章 圣地，书山
    诗词文章中，只有很少的一部分有才气。,24, 第十八章 圣地，书山
    有才气的诗词文中，只有很少的一部分能引动天地元气。,25, 第十八章 圣地，书山
    能引动天地元气的诗词中，只有很少的一部分是战诗战词，有杀敌效果。,26, 第十八章 圣地，书山
    而战诗战词中，只有极少的一部分可以传授给别人、让别人掌握，成为“传世”战诗战词。,27, 第十八章 圣地，书山
    景国的半圣陈观海封圣一百多年，他自己所做的诗词文无数，但可以传世的战诗战词仅仅只有两首。,28, 第十八章 圣地，书山
    半圣一人可挡百万师，但却不能教会人人能挡百万师。,29, 第十八章 圣地，书山
    “原来如此。”方运道。,30, 第十八章 圣地，书山
    方守业道：“可惜，过去诗词发展的太慢了。因为有千年不战之约，人族虽然内斗，可外无危机，众圣的心思还在‘圣道’上，首重经义，甚至认为连治国都是小道，更不用说词赋。半圣们都想再进一步成为亚圣乃至圣人，成为第二个孔圣。直到千年之约到期，妖蛮屡次侵略我人族十国，众圣才意识到不妙，半圣不怕妖圣，但半圣之下尤其是进士之下的人缺乏足够的杀敌之力。”,31, 第十八章 圣地，书山
    方运知道这段历史，接口道：“于是发现战诗战词才是御敌关键，所以就调整科举，所以十国文风大变？”,32, 第十八章 圣地，书山
    “是极。你小小年纪就做得一手好诗，更有一颗正气之心，都是我军方最需要的。作为军人，我希望你入我军方，但作为伯父，希望你还是走文院一系更好，为我方家添一大学士。”方守业拍拍方运的肩膀，转身就要走。,33, 第十八章 圣地，书山
    方运立刻道：“伯父留步，我有一事相商。我准备开一家书铺，贩卖我的诗文，还有一些小说，不知伯父有没有兴趣入股？”,34, 第十八章 圣地，书山
    “哦？一股多少钱？”方守业问。,35, 第十八章 圣地，书山
    “伯父帮我良多，那我便只要十分之一的价格，一股一千两。”方运道。,36, 第十八章 圣地，书山
    “你看我像冤大头吗？租个店铺外加各种费用，一年也花不了五百两，一股你就敢要一千两？”方守业瞪大眼道。,37, 第十八章 圣地，书山
    一旁的人也惊讶地看着方运，连杨玉环都感到莫名其妙，这个要价太高了。,38, 第十八章 圣地，书山
    方运默默拿着，奇书天地没有任何反应。,6, 第二十一章 墨香入天地
    片刻后，方运低声说：“收！”,7, 第二十一章 墨香入天地
    奇书天地还是没有反应。,8, 第二十一章 墨香入天地
    方运聚精会神盯着封面的“草庐山居集”五个字，颇有一种“用眼神杀气你”的气概，可毫无用处。,9, 第二十一章 墨香入天地
    “难道不能直接收入奇书天地？”,10, 第二十一章 墨香入天地
    方运想了想，翻看书页，奇书天地仍然没有反应，只好一字一句地默记。,11, 第二十一章 墨香入天地
    默读完第一页，方运翻页，奇书天地动了。,12, 第二十一章 墨香入天地
    一本空白的书出现在方运的脑海里，封面逐渐出现“草庐山居集”五个字，第一页也有了内容，可后面还是空白。,13, 第二十一章 墨香入天地
    “难道真要默读完全部文字才能收入奇书天地？这种经书不能快读，一秒两个字，一小时就是七千两百字，一天就算看十个小时，也才七万两千字，三个月六十天不过四百多万字。众圣的著作极多，尤其是这两三百年的新圣的著作，加起来绝对超过千万字，奇书天地里很多都没有。再加上那些大儒大学士对众圣经典的诠释也都要看，不读个十几年别想有大成就。”,14, 第二十一章 墨香入天地
    方运犯了难，府试考秀才可比县试难得多，要考的范围也很广，万一经义或请圣言得个丁，那就太丢人了。,15, 第二十一章 墨香入天地
    “实在不行，今年就不参加府试，过几年再考秀才。”,16, 第二十一章 墨香入天地
    方运想着，离开文院。,17, 第二十一章 墨香入天地
    文院一条街有许多跟读书有关的店铺，有卖书的，有卖文房四宝的，有卖其他杂物的。因为童生试刚过，其他村镇的人都没走，这条街十分热闹，很多店铺都有打折活动。,18, 第二十一章 墨香入天地
    方运之前钱不多，买不了太多的书，现在不缺钱，看到有一套《观海文集》打九折，就动了心。,19, 第二十一章 墨香入天地
    陈观海是景国目前唯一一位半圣，他的文集是景国许多读书人必备的。,20, 第二十一章 墨香入天地
    走到众人前，方运弯腰作揖，道：“方运何德何能受诸位大人长者如此厚待。”,10, 第二十二章 诗成镇国 一纸百斤
    苏举人道：“此言差矣。你方运此刻如幼凤初鸣，未来必将翱翔碧空，送你是我等荣幸。你是‘济县方运’，同为济县人，送你是应该的。对了，你到底娶不娶我女儿或孙女。”,11, 第二十二章 诗成镇国 一纸百斤
    众人笑起来，这些天城里已经在传苏举人招赘失败的事情，得知方运没有舍弃杨玉环，济县读书人对方运的评价又高了一分，,12, 第二十二章 诗成镇国 一纸百斤
    蔡县令拿出三封信递给方运，道：“我与孙知府是同乡，与州刑司的张司正是同榜，与州文院的周主簿是好友，你既然去大源府，帮我把三封信捎过去。”,13, 第二十二章 诗成镇国 一纸百斤
    孙知府是大源府的最高民政长官，官居五品，而州刑司的司正则主管一省的缉捕刑狱，是四品大员。州文院的主簿是六品官，论品级也比蔡县令高。,14, 第二十二章 诗成镇国 一纸百斤
    方运心知这是蔡县令帮他铺路，让他靠这三封信跟三位高官见一面，日后若在大源府出事，这三位必然会看在蔡县令的面子上相助。,15, 第二十二章 诗成镇国 一纸百斤
    “看来那三人都是文相的人。文相是文院系的首领，但他手下必然还有当文官的，而左相柳山虽然只是文官之首，其门生故旧也有在军中、文院。”,16, 第二十二章 诗成镇国 一纸百斤
    方运心里想着，接过三封信，谢过蔡县令。,17, 第二十二章 诗成镇国 一纸百斤
    县里另一家望族的吴族长递过一个红色小布包，道：“这是十两程仪，祝方案首一路顺风。”,18, 第二十二章 诗成镇国 一纸百斤
    接着一些人也送上程仪，方运一一谢过。,19, 第二十二章 诗成镇国 一纸百斤
    从济县到大源府坐马车不过四个小时，可这些人却送了一百多两银子，很多人送的比祝贺方运考中童生更多，可见在他们心里方运的地位不断升高。,20, 第二十二章 诗成镇国 一纸百斤
    众人聊了一些大源府的见闻，做出一些有益于方运的指点，在太阳即将升起的时候，有人说让方运快走，别耽误了行程。,21, 第二十二章 诗成镇国 一纸百斤
